#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Candidatus Methanomassiliicoccus intestinalis,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,MGYG-HGUT-02160,SAMEA5851664,PRJEB33885,GCA_902383905.1,Complete,"1,93165","41,3",chromosome 1:NZ_LR698974.1/LR698974.1,,1,1827,2019-08-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/383/905/GCA_902383905.1_UHGG_MGYG-HGUT-02160,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/383/905/GCF_902383905.1_UHGG_MGYG-HGUT-02160
Candidatus Methanomethylophilus alvus Mx1201,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,Mx1201,SAMN03081445,PRJNA175948,GCA_000300255.2,Complete,"1,6668","55,6",chromosome:NC_020913.1/CP004049.1,,1,1605,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/255/GCA_000300255.2_ASM30025v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/255/GCF_000300255.2_ASM30025v2
Candidatus Methanoplasma termitum,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,MpT1,SAMN03224143,PRJNA268719,GCA_000800805.1,Complete,"1,48867","49,2",chromosome:NZ_CP010070.1/CP010070.1,,1,1395,2014-12-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/805/GCA_000800805.1_ASM80080v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/805/GCF_000800805.1_ASM80080v1
Cuniculiplasma divulgatum,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,PM4 (=JCM 30641; =VKM B-2940),SAMEA3719624,PRJEB12275,GCA_900090055.1,Complete,"1,87892","37,2",chromosome I:NZ_LT719092.1/LT719092.1,,1,1825,2017-01-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/090/055/GCA_900090055.1_C.divulgatum_PM4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/055/GCF_900090055.1_C.divulgatum_PM4
Ferroplasma acidarmanus fer1,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,fer1,SAMN02604346,PRJNA239,GCA_000152265.2,Complete,"1,93521","36,5",chromosome:NC_021592.1/CP004145.1,,1,1888,2013-06-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/265/GCA_000152265.2_ASM15226v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/265/GCF_000152265.2_ASM15226v2
Ferroplasma acidiphilum,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,Y,SAMN03952737,PRJNA316151,GCA_002078355.1,Complete,"1,82694","36,5",chromosome:NZ_CP015363.1/CP015363.1,,1,1785,2017-04-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/355/GCA_002078355.1_ASM207835v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/355/GCF_002078355.1_ASM207835v1
Picrophilus torridus DSM 9790,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,DSM 9790,SAMN02603345,PRJNA10641,GCA_000008265.1,Complete,"1,5459",36,chromosome:NC_005877.1/AE017261.1,,1,1567,2004-06-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/265/GCA_000008265.1_ASM826v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/265/GCF_000008265.1_ASM826v1
Thermoplasma acidophilum DSM 1728,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,DSM1728,SAMEA3138325,PRJNA110,GCA_000195915.1,Complete,"1,56491",46,chromosome:NC_002578.1/AL139299.1,,1,1529,2001-10-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/915/GCA_000195915.1_ASM19591v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/915/GCF_000195915.1_ASM19591v1
Thermoplasma volcanium GSS1,Archaea;Candidatus Thermoplasmatota;Thermoplasmata,GSS1,SAMD00061089,PRJNA206,GCA_000011185.1,Complete,"1,5848","39,9",chromosome:NC_002689.2/BA000011.4,,1,1575,2001-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/185/GCA_000011185.1_ASM1118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/185/GCF_000011185.1_ASM1118v1
Archaeoglobus fulgidus DSM 8774,Archaea;Euryarchaeota;Archaeoglobi,DSM 8774,SAMN03081472,PRJNA208006,GCA_000734035.1,Complete,"2,31629","48,1",chromosome:NZ_CP006577.1/CP006577.1,,1,2582,2014-07-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/035/GCA_000734035.1_ASM73403v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/035/GCF_000734035.1_ASM73403v1
Archaeoglobus profundus DSM 5631,Archaea;Euryarchaeota;Archaeoglobi,DSM 5631,SAMN00017459,PRJNA32583,GCA_000025285.1,Complete,"1,56342","41,9961",chromosome:NC_013741.1/CP001857.1; plasmid pArcpr01:NC_013742.1/CP001858.1,,2,1814,2010-01-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/285/GCA_000025285.1_ASM2528v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/285/GCF_000025285.1_ASM2528v1
Archaeoglobus sulfaticallidus PM70-1,Archaea;Euryarchaeota;Archaeoglobi,PM70-1,SAMN02028569,PRJNA196460,GCA_000385565.1,Complete,"2,07693","43,2",chromosome:NC_021169.1/CP005290.1,,1,2217,2013-04-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/565/GCA_000385565.1_ASM38556v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/565/GCF_000385565.1_ASM38556v1
Archaeoglobus veneficus SNP6,Archaea;Euryarchaeota;Archaeoglobi,SNP6,SAMN00713598,PRJNA51621,GCA_000194625.1,Complete,"1,90194",47,chromosome:NC_015320.1/CP002588.1,,1,2109,2011-03-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/625/GCF_000194625.1_ASM19462v1
Ferroglobus placidus DSM 10642,Archaea;Euryarchaeota;Archaeoglobi,DSM 10642,SAMN02598503,PRJNA33635,GCA_000025505.1,Complete,"2,19627","44,1",chromosome:NC_013849.1/CP001899.1,,1,2523,2010-02-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/505/GCF_000025505.1_ASM2550v1
Geoglobus ahangari,Archaea;Euryarchaeota;Archaeoglobi,234,SAMN02988852,PRJNA258102,GCA_001006045.1,Complete,"1,77009","53,1",chromosome:NZ_CP011267.1/CP011267.1,,1,2015,2015-05-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/006/045/GCA_001006045.1_ASM100604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/006/045/GCF_001006045.1_ASM100604v1
Methanobacterium congolense,Archaea;Euryarchaeota;Methanomada group,Buetzberg,SAMEA4378819,PRJEB14599,GCA_900095295.1,Complete,"2,46957","38,4824",chromosome I:NZ_LT607756.1/LT607756.1; plasmid II:NZ_LT607757.1/LT607757.1,,2,2324,2016-09-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/295/GCA_900095295.1_MCBB,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/295/GCF_900095295.1_MCBB
Methanobacterium formicicum,Archaea;Euryarchaeota;Methanomada group,Mb9,SAMEA2779801,PRJEB7298,GCA_001458655.1,Complete,"2,49451","41,1",chromosome I:NZ_LN734822.1/LN734822.1,,1,2396,2015-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/655/GCF_001458655.1_Mb9
Methanobacterium lacus,Archaea;Euryarchaeota;Methanomada group,AL-21,SAMN02232037,PRJNA53495,GCA_000191585.1,Complete,"2,58375","35,8",chromosome:NC_015216.1/CP002551.1,,1,2502,2011-03-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/585/GCA_000191585.1_ASM19158v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/585/GCF_000191585.1_ASM19158v1
Methanobacterium paludis,Archaea;Euryarchaeota;Methanomada group,SWAN1,SAMN00713630,PRJNA53561,GCA_000214725.1,Complete,"2,54654","35,7",chromosome:NC_015574.1/CP002772.1,,1,2414,2011-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/725/GCA_000214725.1_ASM21472v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/725/GCF_000214725.1_ASM21472v1
Methanobacterium subterraneum,Archaea;Euryarchaeota;Methanomada group,A8p,SAMN05928842,PRJNA349209,GCA_002813695.1,Complete,"2,51582","39,4",chromosome:NZ_CP017768.1/CP017768.1,,1,2397,2017-12-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/695/GCA_002813695.1_ASM281369v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/695/GCF_002813695.1_ASM281369v1
Methanobrevibacter arboriphilus,Archaea;Euryarchaeota;Methanomada group,SA,SAMD00171894,PRJDB8301,GCA_019669925.1,Complete,"2,39327","25,6",chromosome:NZ_AP019779.1/AP019779.1,,1,2001,2021-06-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/669/925/GCA_019669925.1_ASM1966992v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/669/925/GCF_019669925.1_ASM1966992v1
Methanobrevibacter olleyae,Archaea;Euryarchaeota;Methanomada group,YLM1,SAMN04335716,PRJNA49591,GCA_001563245.1,Complete,"2,20119","26,9",chromosome:NZ_CP014265.1/CP014265.1,,1,1823,2016-02-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/245/GCA_001563245.1_ASM156324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/245/GCF_001563245.1_ASM156324v1
Methanobrevibacter ruminantium M1,Archaea;Euryarchaeota;Methanomada group,M1,SAMN02603710,PRJNA34681,GCA_000024185.1,Complete,"2,9372","32,6",chromosome:NC_013790.1/CP001719.1,,1,2184,2010-02-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/185/GCA_000024185.1_ASM2418v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/185/GCF_000024185.1_ASM2418v1
Methanobrevibacter smithii ATCC 35061,Archaea;Euryarchaeota;Methanomada group,ATCC 35061; PS; DSMZ 861,SAMN02604313,PRJNA18653,GCA_000016525.1,Complete,"1,85316",31,chromosome:NC_009515.1/CP000678.1,,1,1737,2007-06-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/525/GCF_000016525.1_ASM1652v1
Methanocaldococcus bathoardescens,Archaea;Euryarchaeota;Methanomada group,JH146,SAMN02951366,PRJNA242490,GCA_000739065.1,Complete,"1,60756","30,8",chromosome:NZ_CP009149.1/CP009149.1,,1,1654,2014-08-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/065/GCA_000739065.1_ASM73906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/065/GCF_000739065.1_ASM73906v1
Methanocaldococcus fervens AG86,Archaea;Euryarchaeota;Methanomada group,AG86,SAMN02598490,PRJNA32615,GCA_000023985.1,Complete,"1,50725","32,2088",chromosome:NC_013156.1/CP001696.1; plasmid pMEFER01:NC_013157.1/CP001697.1,,2,1583,2009-08-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/985/GCA_000023985.1_ASM2398v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/985/GCF_000023985.1_ASM2398v1
Methanocaldococcus infernus ME,Archaea;Euryarchaeota;Methanomada group,ME,SAMN00017484,PRJNA32611,GCA_000092305.1,Complete,"1,32819","33,6",chromosome:NC_014122.1/CP002009.1,,1,1435,2010-04-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/305/GCA_000092305.1_ASM9230v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/305/GCF_000092305.1_ASM9230v1
Methanocaldococcus jannaschii DSM 2661,Archaea;Euryarchaeota;Methanomada group,DSM 2661,SAMN02603984,PRJNA102,GCA_000091665.1,Complete,"1,73993","31,2688",chromosome:NC_000909.1/L77117.1; plasmid pDSM2661_1:NC_001732.1/L77118.1; plasmid pDSM2661_2:NC_001733.1/L77119.1,,3,1802,1998-01-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/665/GCF_000091665.1_ASM9166v1
Methanocaldococcus vulcanius M7,Archaea;Euryarchaeota;Methanomada group,M7,SAMN02598493,PRJNA33047,GCA_000024625.1,Complete,"1,76174","31,5862",chromosome:NC_013407.1/CP001787.1; plasmid pMETVU01:NC_013408.1/CP001788.1; plasmid pMETVU02:NC_013409.1/CP001789.1,,3,1720,2009-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/625/GCA_000024625.1_ASM2462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/625/GCF_000024625.1_ASM2462v1
